ID, block, element ID, linked transaction ID, initial clock value, final clock value, duration, attributes, actions
1453, CA, 125, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1454, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1455, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1456, CA, 120, -1, 0, 0, 0, 0 55 50 , action#0: distance = 55 
1457, CA, 155, -1, 0, 0, 0, 0 55 50 , null
1458, CA, 121, -1, 0, 0, 0, 0 55 50 , null
1459, CA, 146, -1, 0, 0, 0, 30 55 50 , action#0: speed = 30 
1460, CA, 122, -1, 0, 0, 0, 30 55 50 , null
1461, CA, 152, -1, 0, 0, 0, 30 55 50 , null
1462, CA, 123, -1, 0, 0, 0, 30 47 50 , action#0: distance = 47 
1463, CA, 153, -1, 0, 0, 0, 30 47 50 , null
1464, CA, 124, -1, 0, 0, 0, 30 47 50 , null
1465, CA, 125, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1466, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1467, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1468, CA, 120, -1, 0, 0, 0, 0 47 50 , action#0: distance = 47 
1469, CA, 155, -1, 0, 0, 0, 0 47 50 , null
1470, CA, 121, -1, 0, 0, 0, 0 47 50 , null
1471, CA, 139, -1, 0, 0, 0, 0 47 50 , action#0: speed = 0 
1472, CA, 119, -1, 0, 0, 0, 0 47 50 , null
1473, CA, 154, -1, 0, 0, 0, 0 47 50 , null
1474, CA, 120, -1, 0, 0, 0, 0 53 50 , action#0: distance = 53 
1475, CA, 155, -1, 0, 0, 0, 0 53 50 , null
1476, CA, 121, -1, 0, 0, 0, 0 53 50 , null
1477, CA, 146, -1, 0, 0, 0, 30 53 50 , action#0: speed = 30 
1478, CA, 122, -1, 0, 0, 0, 30 53 50 , null
1479, CA, 152, -1, 0, 0, 0, 30 53 50 , null
1480, CA, 123, -1, 0, 0, 0, 30 48 50 , action#0: distance = 48 
1481, CA, 153, -1, 0, 0, 0, 30 48 50 , null
1482, CA, 124, -1, 0, 0, 0, 30 48 50 , null
1483, CA, 125, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
1484, CA, 119, -1, 0, 0, 0, 0 48 50 , null
1485, CA, 154, -1, 0, 0, 0, 0 48 50 , null
1486, CA, 120, -1, 0, 0, 0, 0 54 50 , action#0: distance = 54 
1487, CA, 155, -1, 0, 0, 0, 0 54 50 , null
1488, CA, 121, -1, 0, 0, 0, 0 54 50 , null
1489, CA, 146, -1, 0, 0, 0, 30 54 50 , action#0: speed = 30 
1490, CA, 122, -1, 0, 0, 0, 30 54 50 , null
1491, CA, 152, -1, 0, 0, 0, 30 54 50 , null
1492, CA, 123, -1, 0, 0, 0, 30 48 50 , action#0: distance = 48 
1493, CA, 153, -1, 0, 0, 0, 30 48 50 , null
1494, CA, 124, -1, 0, 0, 0, 30 48 50 , null
1495, CA, 125, -1, 0, 0, 0, 0 48 50 , action#0: speed = 0 
1496, CA, 119, -1, 0, 0, 0, 0 48 50 , null
1497, CA, 154, -1, 0, 0, 0, 0 48 50 , null
1498, CA, 120, -1, 0, 0, 0, 0 55 50 , action#0: distance = 55 
1499, CA, 155, -1, 0, 0, 0, 0 55 50 , null
1500, CA, 121, -1, 0, 0, 0, 0 55 50 , null
1501, CA, 146, -1, 0, 0, 0, 30 55 50 , action#0: speed = 30 
1502, CA, 122, -1, 0, 0, 0, 30 55 50 , null
1503, CA, 152, -1, 0, 0, 0, 30 55 50 , null
